Name,Description,Photos,ImageURL,License,Source
Nike Air Force 1 '07,Iconic leather low-top with Air cushioning; everyday classic since 1982.,https://www.google.com/search?tbm=isch&q=Nike+Air+Force+1+%2707+sneaker,https://upload.wikimedia.org/wikipedia/commons/7/7e/Nike_air_Force_1_white_on_white.jpg,see-source,https://en.wikipedia.org/?curid=439998
Nike Air Max 1,Tinker Hatfield debut Air window runner; versatile retro lifestyle staple.,https://www.google.com/search?tbm=isch&q=Nike+Air+Max+1+sneaker,https://upload.wikimedia.org/wikipedia/commons/3/36/Nike_Air_Max_1.png,see-source,https://en.wikipedia.org/?curid=2452974
Nike Air Max 90,Chunky 1990 runner with visible Air and layered panels; durable.,https://www.google.com/search?tbm=isch&q=Nike+Air+Max+90+sneaker,https://upload.wikimedia.org/wikipedia/commons/3/36/Nike_Air_Max_1.png,see-source,https://en.wikipedia.org/?curid=2452974
Nike Air Max 95,Anatomy-inspired gradient upper; dual visible Air; 90s standout.,https://www.google.com/search?tbm=isch&q=Nike+Air+Max+95+sneaker,https://upload.wikimedia.org/wikipedia/commons/3/36/Nike_Air_Max_1.png,see-source,https://en.wikipedia.org/?curid=2452974
Nike Air Max 97,"Wavy, bullet-train lines; full-length Air; sleek reflective piping.",https://www.google.com/search?tbm=isch&q=Nike+Air+Max+97+sneaker,https://upload.wikimedia.org/wikipedia/commons/3/36/Nike_Air_Max_1.png,see-source,https://en.wikipedia.org/?curid=2452974
Nike Air Max 270,Lifestyle max-cushion heel Air unit; breathable knit upper.,https://www.google.com/search?tbm=isch&q=Nike+Air+Max+270+sneaker,https://upload.wikimedia.org/wikipedia/commons/3/36/Nike_Air_Max_1.png,see-source,https://en.wikipedia.org/?curid=2452974
Nike Air Max 720,Extra-tall Air unit for plush ride; futuristic sculpted look.,https://www.google.com/search?tbm=isch&q=Nike+Air+Max+720+sneaker,https://upload.wikimedia.org/wikipedia/commons/3/36/Nike_Air_Max_1.png,see-source,https://en.wikipedia.org/?curid=2452974
Nike React Infinity Run,High-stack foam trainer built for stability and daily mileage.,https://www.google.com/search?tbm=isch&q=Nike+React+Infinity+Run+sneaker,https://upload.wikimedia.org/wikipedia/commons/f/f0/Aryna_Sabalenka_%282024_DC_Open%29_06.jpg,see-source,https://en.wikipedia.org/?curid=50222577
Nike Pegasus 40,Reliable daily trainer; balanced cushioning and breathable mesh.,https://www.google.com/search?tbm=isch&q=Nike+Pegasus+40+sneaker,,,
Nike Dunk Low,80s basketball turned lifestyle; simple panels great for colorways.,https://www.google.com/search?tbm=isch&q=Nike+Dunk+Low+sneaker,https://upload.wikimedia.org/wikipedia/commons/c/c9/Panda_Nike_Dunk.jpg,see-source,https://en.wikipedia.org/?curid=45290757
Nike Dunk High,High-cut version of classic 80s basketball silhouette; padded collar.,https://www.google.com/search?tbm=isch&q=Nike+Dunk+High+sneaker,https://upload.wikimedia.org/wikipedia/commons/c/c9/Panda_Nike_Dunk.jpg,see-source,https://en.wikipedia.org/?curid=45290757
Nike Blazer Mid '77,Vintage hoops style; leather/suede with exposed foam tongue.,https://www.google.com/search?tbm=isch&q=Nike+Blazer+Mid+%2777+sneaker,https://upload.wikimedia.org/wikipedia/commons/8/8c/Travis_Kelce_%2853790185007%29_%28cropped%29.jpg,see-source,https://en.wikipedia.org/?curid=38384954
Nike Cortez,1972 track shoe with sawtooth sole; minimalist retro profile.,https://www.google.com/search?tbm=isch&q=Nike+Cortez+sneaker,https://upload.wikimedia.org/wikipedia/commons/9/94/Nike_Cortez.jpg,see-source,https://en.wikipedia.org/?curid=34763994
Nike Internationalist,80s runner aesthetic; suede/mesh mix; casual comfort.,https://www.google.com/search?tbm=isch&q=Nike+Internationalist+sneaker,,,
Nike Air Huarache,Neoprene bootie and heel cage; snug fit; early 90s icon.,https://www.google.com/search?tbm=isch&q=Nike+Air+Huarache+sneaker,https://upload.wikimedia.org/wikipedia/commons/d/d3/Nike_Campus%2C_Beaverton_-_DPLA_-_ffa63f1bbaf5cd21aeada3d3978db2b0.jpg,see-source,https://en.wikipedia.org/?curid=18998781
Nike Air Zoom Vomero 5,Cushioned runner turned street favorite; layered techy upper.,https://www.google.com/search?tbm=isch&q=Nike+Air+Zoom+Vomero+5+sneaker,https://upload.wikimedia.org/wikipedia/commons/7/7a/Nike_Zoom_Vomero_5.jpg,see-source,https://en.wikipedia.org/?curid=78094733
Nike ZoomX Vaporfly 3,Super shoe with carbon plate; elite marathon performance.,https://www.google.com/search?tbm=isch&q=Nike+ZoomX+Vaporfly+3+sneaker,,,
Nike Free RN,Flexible natural-motion trainer; lightweight knit upper.,https://www.google.com/search?tbm=isch&q=Nike+Free+RN+sneaker,https://upload.wikimedia.org/wikipedia/commons/4/4a/Nike_Free%2B_3_running_shoe.jpg,see-source,https://en.wikipedia.org/?curid=2631131
Nike ACG Mountain Fly Low,All-conditions rugged sole; trail-ready urban utility.,https://www.google.com/search?tbm=isch&q=Nike+ACG+Mountain+Fly+Low+sneaker,,,
Jordan 1 Retro High OG,1985 Michael Jordan signature; leather panels; timeless street staple.,https://www.google.com/search?tbm=isch&q=Jordan+1+Retro+High+OG+sneaker,https://upload.wikimedia.org/wikipedia/commons/9/9e/CL_HelloBitches_Profile_200px.jpg,see-source,https://en.wikipedia.org/?curid=48900719
Jordan 1 Mid,Accessible take on AJ1 with mid cut and broad color range.,https://www.google.com/search?tbm=isch&q=Jordan+1+Mid+sneaker,,,
Jordan 4 Retro,"Mesh side panels, visible Air; plastic wings; late-80s classic.",https://www.google.com/search?tbm=isch&q=Jordan+4+Retro+sneaker,,,
Jordan 3 Retro,Elephant print overlays; visible Air; pivotal Tinker design.,https://www.google.com/search?tbm=isch&q=Jordan+3+Retro+sneaker,,,
Jordan 11 Retro,Patent leather shine; translucent outsole; holiday favorite.,https://www.google.com/search?tbm=isch&q=Jordan+11+Retro+sneaker,,,
Jordan 6 Retro,"Heel spoiler, visible Air; worn during first championship.",https://www.google.com/search?tbm=isch&q=Jordan+6+Retro+sneaker,,,
Jordan 5 Retro,"Reflective tongue, shark-tooth midsole; inspired by fighter jets.",https://www.google.com/search?tbm=isch&q=Jordan+5+Retro+sneaker,,,
Jordan 13 Retro,Holographic cat eye; panther paw outsole; late-90s icon.,https://www.google.com/search?tbm=isch&q=Jordan+13+Retro+sneaker,,,
Jordan 12 Retro,Rising sun stitch lines; full-length Zoom; durable leather.,https://www.google.com/search?tbm=isch&q=Jordan+12+Retro+sneaker,,,
Converse Chuck Taylor All Star High,Canvas high-top with rubber toe cap; all-time casual essential.,https://www.google.com/search?tbm=isch&q=Converse+Chuck+Taylor+All+Star+High+sneaker,https://upload.wikimedia.org/wikipedia/commons/a/a5/Black_Converse_sneakers.JPG,see-source,https://en.wikipedia.org/?curid=1667713
Converse Chuck Taylor All Star Low,"Low-top canvas classic; versatile, simple, and affordable.",https://www.google.com/search?tbm=isch&q=Converse+Chuck+Taylor+All+Star+Low+sneaker,https://upload.wikimedia.org/wikipedia/commons/a/a5/Black_Converse_sneakers.JPG,see-source,https://en.wikipedia.org/?curid=1667713
Converse Chuck 70 High,Upgraded materials; vintage specs; thicker canvas and midsole.,https://www.google.com/search?tbm=isch&q=Converse+Chuck+70+High+sneaker,https://upload.wikimedia.org/wikipedia/commons/a/a5/Black_Converse_sneakers.JPG,see-source,https://en.wikipedia.org/?curid=1667713
Vans Old Skool,Skate classic with sidestripe; suede/canvas build; waffle outsole.,https://www.google.com/search?tbm=isch&q=Vans+Old+Skool+sneaker,https://upload.wikimedia.org/wikipedia/commons/8/88/Vans_%28brand%29_logo.svg,see-source,https://en.wikipedia.org/?curid=1233558
Vans Authentic,Low-profile canvas skate original; vulcanized sole; minimalist.,https://www.google.com/search?tbm=isch&q=Vans+Authentic+sneaker,https://upload.wikimedia.org/wikipedia/commons/8/88/Vans_%28brand%29_logo.svg,see-source,https://en.wikipedia.org/?curid=1233558
Vans Sk8-Hi,High-top skate silhouette; padded collar; durable suede panels.,https://www.google.com/search?tbm=isch&q=Vans+Sk8-Hi+sneaker,https://upload.wikimedia.org/wikipedia/commons/4/43/Anti_Social_Social_Club_logo.svg,see-source,https://en.wikipedia.org/?curid=55712073
Vans Slip-On,Laceless skate staple; checkerboard famous; easy on/off.,https://www.google.com/search?tbm=isch&q=Vans+Slip-On+sneaker,https://upload.wikimedia.org/wikipedia/commons/8/88/Vans_%28brand%29_logo.svg,see-source,https://en.wikipedia.org/?curid=1233558
adidas Stan Smith,Clean leather tennis shoe; perforated Three Stripes; minimal.,https://www.google.com/search?tbm=isch&q=adidas+Stan+Smith+sneaker,https://upload.wikimedia.org/wikipedia/commons/0/03/Stan_Smith_white_and_green.png,see-source,https://en.wikipedia.org/?curid=10073962
adidas Superstar,Shell toe basketball classic; leather upper; bold stripes.,https://www.google.com/search?tbm=isch&q=adidas+Superstar+sneaker,https://upload.wikimedia.org/wikipedia/commons/5/59/Adidas_Superstar_shoes_pair.jpg,see-source,https://en.wikipedia.org/?curid=9460463
adidas Samba OG,Indoor soccer classic turned lifestyle; gum sole; t-toe overlay.,https://www.google.com/search?tbm=isch&q=adidas+Samba+OG+sneaker,https://upload.wikimedia.org/wikipedia/commons/f/fa/Adidas_Samba_OG.jpg,see-source,https://en.wikipedia.org/?curid=9163148
adidas Gazelle,60s training shoe; suede upper; slim profile; retro feel.,https://www.google.com/search?tbm=isch&q=adidas+Gazelle+sneaker,https://upload.wikimedia.org/wikipedia/commons/1/19/Adidas_Gazelle.jpg,see-source,https://en.wikipedia.org/?curid=75123387
adidas Campus 00s,Chunkier take on Campus; skate-influenced proportions.,https://www.google.com/search?tbm=isch&q=adidas+Campus+00s+sneaker,https://upload.wikimedia.org/wikipedia/commons/c/cc/Campus_80s.jpg,see-source,https://en.wikipedia.org/?curid=75163867
adidas Forum Low,80s basketball strap; layered panels; retro court vibe.,https://www.google.com/search?tbm=isch&q=adidas+Forum+Low+sneaker,https://upload.wikimedia.org/wikipedia/commons/4/43/Adidas_Forum.jpg,see-source,https://en.wikipedia.org/?curid=75121450
adidas Forum High,High-cut Forum with ankle strap; classic hardwood style.,https://www.google.com/search?tbm=isch&q=adidas+Forum+High+sneaker,https://upload.wikimedia.org/wikipedia/commons/4/43/Adidas_Forum.jpg,see-source,https://en.wikipedia.org/?curid=75121450
adidas NMD_R1,Boost midsole lifestyle runner; sock-like knit upper.,https://www.google.com/search?tbm=isch&q=adidas+NMD_R1+sneaker,https://upload.wikimedia.org/wikipedia/commons/f/fc/Adidas_NMD_R1.jpg,see-source,https://en.wikipedia.org/?curid=75937030
adidas Ultraboost 1.0,High-energy Boost cushioning; Primeknit upper; everyday comfort.,https://www.google.com/search?tbm=isch&q=adidas+Ultraboost+1.0+sneaker,https://upload.wikimedia.org/wikipedia/commons/5/5a/Adidas_Ultra_Boost_4_running_shoes.jpeg,see-source,https://en.wikipedia.org/?curid=75513541
adidas Ultraboost 21,"Modern, high-stack Boost; torsion system; plush ride.",https://www.google.com/search?tbm=isch&q=adidas+Ultraboost+21+sneaker,https://upload.wikimedia.org/wikipedia/commons/f/ff/Adidas_Yeezy_Boost_%22Oxford_Tan%22.jpg,see-source,https://en.wikipedia.org/?curid=48613465
adidas ZX 8000,Torsion-era runner; bright palettes; technical retro look.,https://www.google.com/search?tbm=isch&q=adidas+ZX+8000+sneaker,https://upload.wikimedia.org/wikipedia/commons/1/1d/Exclusive_Interview_Keith_Hufnagel_-_Part_3_%282016%29.png,see-source,https://en.wikipedia.org/?curid=65492453
adidas Yeezy Boost 350 V2,"Knit upper and Boost midsole; sleek, minimal silhouette.",https://www.google.com/search?tbm=isch&q=adidas+Yeezy+Boost+350+V2+sneaker,https://upload.wikimedia.org/wikipedia/commons/f/ff/Adidas_Yeezy_Boost_%22Oxford_Tan%22.jpg,see-source,https://en.wikipedia.org/?curid=48613465
adidas Yeezy 700 V1,Chunky dad-shoe wave runner; layered suede and mesh.,https://www.google.com/search?tbm=isch&q=adidas+Yeezy+700+V1+sneaker,,,
New Balance 990v5,Made in USA dad-shoe icon; ENCAP support; premium suede.,https://www.google.com/search?tbm=isch&q=New+Balance+990v5+sneaker,https://upload.wikimedia.org/wikipedia/commons/4/42/New_Balance_Women%27s_990_Running_Shoes.jpg,see-source,https://en.wikipedia.org/?curid=45369793
New Balance 990v6,Modernized 990 with FuelCell elements; supportive daily wear.,https://www.google.com/search?tbm=isch&q=New+Balance+990v6+sneaker,https://upload.wikimedia.org/wikipedia/commons/4/42/New_Balance_Women%27s_990_Running_Shoes.jpg,see-source,https://en.wikipedia.org/?curid=45369793
New Balance 993,Cushioned ride; ABZORB midsole; Boston-made classic.,https://www.google.com/search?tbm=isch&q=New+Balance+993+sneaker,https://upload.wikimedia.org/wikipedia/commons/4/42/New_Balance_Women%27s_990_Running_Shoes.jpg,see-source,https://en.wikipedia.org/?curid=45369793
New Balance 992,Chunky retro runner; ABZORB SBS; famously worn by Jobs.,https://www.google.com/search?tbm=isch&q=New+Balance+992+sneaker,https://upload.wikimedia.org/wikipedia/commons/4/42/New_Balance_Women%27s_990_Running_Shoes.jpg,see-source,https://en.wikipedia.org/?curid=45369793
New Balance 2002R,Revived 2010s runner; N-ergy cushioning; great for lifestyle.,https://www.google.com/search?tbm=isch&q=New+Balance+2002R+sneaker,https://upload.wikimedia.org/wikipedia/commons/8/83/New_Balance_2002R.jpg,see-source,https://en.wikipedia.org/?curid=77112086
New Balance 1906R,2000s tech-runner aesthetic; Stability web; breathable mesh.,https://www.google.com/search?tbm=isch&q=New+Balance+1906R+sneaker,https://upload.wikimedia.org/wikipedia/commons/7/7e/New_Balance_1906R.jpg,see-source,https://en.wikipedia.org/?curid=77207295
