Name	Description	Photos
Nike Air Force 1 '07	Iconic leather low-top with Air cushioning; everyday classic since 1982.	https://www.google.com/search?tbm=isch&q=Nike+Air+Force+1+%2707+sneaker
Nike Air Max 1	Tinker Hatfield debut Air window runner; versatile retro lifestyle staple.	https://www.google.com/search?tbm=isch&q=Nike+Air+Max+1+sneaker
Nike Air Max 90	Chunky 1990 runner with visible Air and layered panels; durable.	https://www.google.com/search?tbm=isch&q=Nike+Air+Max+90+sneaker
Nike Air Max 95	Anatomy-inspired gradient upper; dual visible Air; 90s standout.	https://www.google.com/search?tbm=isch&q=Nike+Air+Max+95+sneaker
Nike Air Max 97	Wavy, bullet-train lines; full-length Air; sleek reflective piping.	https://www.google.com/search?tbm=isch&q=Nike+Air+Max+97+sneaker
Nike Air Max 270	Lifestyle max-cushion heel Air unit; breathable knit upper.	https://www.google.com/search?tbm=isch&q=Nike+Air+Max+270+sneaker
Nike Air Max 720	Extra-tall Air unit for plush ride; futuristic sculpted look.	https://www.google.com/search?tbm=isch&q=Nike+Air+Max+720+sneaker
Nike React Infinity Run	High-stack foam trainer built for stability and daily mileage.	https://www.google.com/search?tbm=isch&q=Nike+React+Infinity+Run+sneaker
Nike Pegasus 40	Reliable daily trainer; balanced cushioning and breathable mesh.	https://www.google.com/search?tbm=isch&q=Nike+Pegasus+40+sneaker
Nike Dunk Low	80s basketball turned lifestyle; simple panels great for colorways.	https://www.google.com/search?tbm=isch&q=Nike+Dunk+Low+sneaker
Nike Dunk High	High-cut version of classic 80s basketball silhouette; padded collar.	https://www.google.com/search?tbm=isch&q=Nike+Dunk+High+sneaker
Nike Blazer Mid '77	Vintage hoops style; leather/suede with exposed foam tongue.	https://www.google.com/search?tbm=isch&q=Nike+Blazer+Mid+%2777+sneaker
Nike Cortez	1972 track shoe with sawtooth sole; minimalist retro profile.	https://www.google.com/search?tbm=isch&q=Nike+Cortez+sneaker
Nike Internationalist	80s runner aesthetic; suede/mesh mix; casual comfort.	https://www.google.com/search?tbm=isch&q=Nike+Internationalist+sneaker
Nike Air Huarache	Neoprene bootie and heel cage; snug fit; early 90s icon.	https://www.google.com/search?tbm=isch&q=Nike+Air+Huarache+sneaker
Nike Air Zoom Vomero 5	Cushioned runner turned street favorite; layered techy upper.	https://www.google.com/search?tbm=isch&q=Nike+Air+Zoom+Vomero+5+sneaker
Nike ZoomX Vaporfly 3	Super shoe with carbon plate; elite marathon performance.	https://www.google.com/search?tbm=isch&q=Nike+ZoomX+Vaporfly+3+sneaker
Nike Free RN	Flexible natural-motion trainer; lightweight knit upper.	https://www.google.com/search?tbm=isch&q=Nike+Free+RN+sneaker
Nike ACG Mountain Fly Low	All-conditions rugged sole; trail-ready urban utility.	https://www.google.com/search?tbm=isch&q=Nike+ACG+Mountain+Fly+Low+sneaker
Jordan 1 Retro High OG	1985 Michael Jordan signature; leather panels; timeless street staple.	https://www.google.com/search?tbm=isch&q=Jordan+1+Retro+High+OG+sneaker
Jordan 1 Mid	Accessible take on AJ1 with mid cut and broad color range.	https://www.google.com/search?tbm=isch&q=Jordan+1+Mid+sneaker
Jordan 4 Retro	Mesh side panels, visible Air; plastic wings; late-80s classic.	https://www.google.com/search?tbm=isch&q=Jordan+4+Retro+sneaker
Jordan 3 Retro	Elephant print overlays; visible Air; pivotal Tinker design.	https://www.google.com/search?tbm=isch&q=Jordan+3+Retro+sneaker
Jordan 11 Retro	Patent leather shine; translucent outsole; holiday favorite.	https://www.google.com/search?tbm=isch&q=Jordan+11+Retro+sneaker
Jordan 6 Retro	Heel spoiler, visible Air; worn during first championship.	https://www.google.com/search?tbm=isch&q=Jordan+6+Retro+sneaker
Jordan 5 Retro	Reflective tongue, shark-tooth midsole; inspired by fighter jets.	https://www.google.com/search?tbm=isch&q=Jordan+5+Retro+sneaker
Jordan 13 Retro	Holographic cat eye; panther paw outsole; late-90s icon.	https://www.google.com/search?tbm=isch&q=Jordan+13+Retro+sneaker
Jordan 12 Retro	Rising sun stitch lines; full-length Zoom; durable leather.	https://www.google.com/search?tbm=isch&q=Jordan+12+Retro+sneaker
